node_id,parent_id,stage,arm,primary,GAUC,nDCG@5,delta_primary,ci95_lo,ci95_hi,confirmed,skip,buggy,error,patch,tokens_in,tokens_out,gpu_seconds
027_ablate,020_architecture,ablate,ablate,,,,,,,,false,false,,ablate,7147,7498,0.0
028_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60361,0.67007,0.53715,-0.00025,-0.00133,0.00099,false,false,false,,"ensemble:021_ablate_c0_s0,022_ablate_c0_s1,023_ablate_c0_s2",0,0,0.0
029_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60417,0.67062,0.53772,0.00031,-0.00050,0.00109,false,false,false,,"ensemble:009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2,024_ablate_c1_s0,025_ablate_c1_s1,026_ablate_c1_s2,012_ablate_c1_s0,013_ablate_c1_s1,014_ablate_c1_s2,021_ablate_c0_s0,022_ablate_c0_s1,023_ablate_c0_s2",0,0,0.0
030_loss,000_fm_baseline,improve,loss,0.60392,0.67040,0.53743,0.00006,-0.00134,0.00161,false,false,false,,"{""loss"": ""bpr_global""}",10620,4071,57.2
031_capacity,009_ablate_c0_s0,improve,capacity,0.60414,0.67084,0.53744,0.00028,-0.00066,0.00131,false,false,false,,"{""k"": 8}",11128,1131,35.2
032_loss,009_ablate_c0_s0,improve,loss,0.60362,0.66992,0.53733,-0.00024,-0.00137,0.00113,false,false,false,,"{""loss"": ""bpr_global""}",11320,5673,61.2
033_sequence,009_ablate_c0_s0,improve,sequence,0.60368,0.66969,0.53766,-0.00019,-0.00117,0.00086,false,false,false,,"{""seq_len"": 10, ""seq_mode"": ""pool""}",11527,3265,72.0
034_ablate_c0_s0,033_sequence,improve,ablate,0.60368,0.66969,0.53766,-0.00019,-0.00117,0.00086,false,false,false,,"{""seed"": 0, ""seq_len"": 10, ""seq_mode"": ""pool""}",0,0,72.2
035_ablate_c0_s1,033_sequence,improve,ablate,0.60336,0.66927,0.53745,-0.00050,-0.00163,0.00072,false,false,false,,"{""seed"": 1, ""seq_len"": 10, ""seq_mode"": ""pool""}",0,0,98.2
036_ablate_c0_s2,033_sequence,improve,ablate,0.60343,0.66965,0.53721,-0.00043,-0.00154,0.00090,false,false,false,,"{""seed"": 2, ""seq_len"": 10, ""seq_mode"": ""pool""}",0,0,71.8
037_ablate_c1_s0,033_sequence,improve,ablate,0.60328,0.66946,0.53709,-0.00059,-0.00199,0.00098,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 0}",0,0,96.8
038_ablate_c1_s1,033_sequence,improve,ablate,0.60324,0.66949,0.53699,-0.00062,-0.00194,0.00105,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 1}",0,0,67.8
039_ablate_c1_s2,033_sequence,improve,ablate,0.60241,0.66820,0.53662,-0.00145,-0.00288,0.00000,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 2}",0,0,70.5
040_ablate,033_sequence,ablate,ablate,,,,,,,,false,false,,ablate,7481,10906,0.0
041_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60402,0.67028,0.53777,0.00016,-0.00078,0.00125,false,false,false,,"ensemble:034_ablate_c0_s0,035_ablate_c0_s1,036_ablate_c0_s2",0,0,0.0
